model,scenario,type,purchase,planned,corrective
Multistage (tree),0,0,50.0,0.0,33.0
Multistage (tree),0,1,0.0,0.0,0.0
Multistage (tree),0,2,23.0,0.0,10.0
Multistage (tree),1,0,50.0,0.0,38.0
Multistage (tree),1,1,0.0,0.0,0.0
Multistage (tree),1,2,23.0,0.0,8.0
Multistage (tree),2,0,50.0,0.0,36.0
Multistage (tree),2,1,0.0,0.0,0.0
Multistage (tree),2,2,23.0,0.0,7.0
Multistage (tree),3,0,50.0,0.0,36.0
Multistage (tree),3,1,0.0,0.0,0.0
Multistage (tree),3,2,23.0,0.0,7.0
Multistage (tree),4,0,50.0,0.0,42.0
Multistage (tree),4,1,0.0,0.0,0.0
Multistage (tree),4,2,23.0,13.0,22.0
Multistage (tree),5,0,50.0,0.0,39.0
Multistage (tree),5,1,0.0,0.0,0.0
Multistage (tree),5,2,23.0,26.0,18.0
Multistage (tree),6,0,50.0,26.0,37.0
Multistage (tree),6,1,0.0,0.0,0.0
Multistage (tree),6,2,23.0,13.0,18.0
Multistage (tree),7,0,50.0,0.0,46.0
Multistage (tree),7,1,0.0,0.0,0.0
Multistage (tree),7,2,23.0,13.0,21.0
Multistage (tree),8,0,50.0,0.0,23.0
Multistage (tree),8,1,0.0,0.0,0.0
Multistage (tree),8,2,23.0,0.0,15.0
Multistage (tree),9,0,50.0,0.0,23.0
Multistage (tree),9,1,0.0,0.0,0.0
Multistage (tree),9,2,23.0,0.0,14.0
Multistage (tree),10,0,50.0,0.0,18.0
Multistage (tree),10,1,0.0,0.0,0.0
Multistage (tree),10,2,23.0,0.0,14.0
Multistage (tree),11,0,50.0,0.0,18.0
Multistage (tree),11,1,0.0,0.0,0.0
Multistage (tree),11,2,23.0,0.0,14.0
Multistage (tree),12,0,50.0,13.0,90.0
Multistage (tree),12,1,0.0,0.0,0.0
Multistage (tree),12,2,23.0,117.0,67.0
Multistage (tree),13,0,50.0,13.0,94.0
Multistage (tree),13,1,0.0,0.0,0.0
Multistage (tree),13,2,23.0,104.0,70.0
